Id,Source,Target,Type
1,TENCENT,UBISOFT,directed
2,ELECTRONIC ARTS,UBISOFT,directed
3,SOFTBANK,WEWORK,directed
4,CUSHMAN WAKEFIELD,WEWORK,directed
5,ASCENSION,WAGESTREAM,directed
6,MERCURY,TECHSTARS,directed
7,GALAXY DIGITAL,TERRA,directed
8,POLYCHAIN,TERRA,directed
9,BINANCE,TERRA,directed
10,DIGITAL CURRENCY GROUP,WYRE,directed
11,BLOCKCHAIN CAPITAL,WYRE,directed
12,STELLAR DEVELOPMENT FOUNDATION,WYRE,directed
13,KRAKEN,WYRE,directed
14,APPLE,ZOMATO,directed
15,INFO EDGE,ZOMATO,directed
16,GOOGLE,SPACEX,directed
17,TENCENT,SWIGGY,directed
18,SOFTBANK,SWIGGY,directed
19,MEITUAN,SWIGGY,directed
20,TECHSTARS,TIVE,directed
21,RBL BANK,STANZA LIVING,directed
22,TECHSTARS,TWILIO,directed
23,500 STARTUPS,TWILIO,directed
24,ZOMATO,URBANPIPER,directed
25,SWIGGY,URBANPIPER,directed
26,TENCENT,TESLA,directed
27,CITI,TESLA,directed
28,GOOGLE,TESLA,directed
29,TENCENT,XIAOHONGSHU,directed
30,ALIBABA GROUP,XIAOHONGSHU,directed
31,IIFL FINANCE,UNIPHORE,directed
32,KOHLBERG KRAVIS ROBERTS,SONOS,directed
33,EQUITYZEN,SONOS,directed
34,EVOTEC,SANOFI,directed
35,CHECKOUTCOM,THUNES,directed
36,DAIMLER,TURO,directed
37,BLOCKTOWER CAPITAL,SOLANA,directed
38,500 STARTUPS,SOLANA,directed
39,POLYCHAIN,SOLANA,directed
40,STELLARIS VENTURE PARTNERS,WHATFIX,directed
41,INTEL CAPITAL,TRACE,directed
42,NEXTGEN VENTURE PARTNERS,TRACE,directed
43,AMPLIFYLA,TRACE,directed
44,BOSSA NOVA INVESTIMENTOS,SQUIRE,directed
45,TENCENT,SATELLOGIC,directed
46,SAMSUNG ELECTRONICS,SOFTBANK,directed
47,8VC,VONTIVE,directed
48,GARAGE CAPITAL,SUBSTACK,directed
49,FUNDERSCLUB,SUBSTACK,directed
50,IIFL FINANCE,UPGRAD,directed
51,GOOGLE,STRIPE,directed
52,THE BOEING COMPANY,SPARKCOGNITION,directed
53,DEUTSCHE BANK,ZEBRA TECHNOLOGIES,directed
54,CITI,WONDERSCHOOL,directed
55,FUNDERSCLUB,WONDERSCHOOL,directed
56,TENCENT,UBER,directed
57,TECHSTARS,UBER,directed
58,CITI,UBER,directed
59,UBER,UBER,directed
60,KRISTALAI,STOCKAL,directed
61,TRICA,STOCKAL,directed
62,BLOCKCHAIN CAPITAL,SECURITIZE,directed
63,AVA LABS,SECURITIZE,directed
64,RIPPLE,SECURITIZE,directed
65,RIPIO,SECURITIZE,directed
66,BOSSA NOVA INVESTIMENTOS,TRELL,directed
67,HIKE,WINZO,directed
68,ALIBABA GROUP,SNAPDEAL,directed
69,FOXCONN TECHNOLOGY GROUP,SNAPDEAL,directed
70,TLV PARTNERS,SILVERFORT,directed
71,HACK VC,SENDOSO,directed
72,EMTEK GROUP,WARESIX,directed
73,DST GLOBAL,TOMO,directed
74,SOFTBANK,SORARE,directed
75,EURAZEO,SORARE,directed
76,SEEDCAMP,SORARE,directed
77,JDCOM,TRAVELOKA,directed
78,TENCENT,TRUELAYER,directed
79,STRIPE,TRUELAYER,directed
80,ANTHEMIS GROUP,TRUELAYER,directed
81,DIGITAL CURRENCY GROUP,WORLDCOIN,directed
82,500 STARTUPS,SHIPPO,directed
83,FUNDERSCLUB,SHIPPO,directed
84,BOSSA NOVA INVESTIMENTOS,UMBA,directed
85,ARGO BLOCKCHAIN,WONDERFI,directed
86,LIQUID 2 VENTURES,WORKRAMP,directed
87,MOONPAY,YUGA LABS,directed
88,GENIES,YUGA LABS,directed
89,ANIMOCA BRANDS,YUGA LABS,directed
90,COINBASE,YUGA LABS,directed
91,SAMSUNG ELECTRONICS,YUGA LABS,directed
92,TENCENT,VOYAGER INNOVATIONS,directed
93,PLDT,VOYAGER INNOVATIONS,directed
94,SEEDCAMP,VIZ,directed
95,8VC,SOCOTRA,directed
96,FUNDERSCLUB,SPRING,directed
97,ZIP,ZESTMONEY,directed
98,HANNAH GREY,SUBJECT,directed
99,BOSSA NOVA INVESTIMENTOS,SUBJECT,directed
100,8VC,TWINGATE,directed
101,BOND,TWINGATE,directed
102,SERVICENOW,THOUGHTSPOT,directed
103,500 STARTUPS,SHEARSHARE,directed
104,BOSSA NOVA INVESTIMENTOS,SARY,directed
105,ROCKETSHIPVC,SARY,directed
106,MSA CAPITAL,SARY,directed
107,REVOLUTION,SWEETGREEN,directed
108,SINGULAR,TINYBIRD,directed
109,ETHEREUM FOUNDATION,STARKWARE INDUSTRIES,directed
110,CONSENSYS,STARKWARE INDUSTRIES,directed
111,POLYCHAIN,STARKWARE INDUSTRIES,directed
112,ACCENTURE,SKYHIVE,directed
113,DEUTSCHE BANK,SKYHIVE,directed
114,SCIENCE,WEALTHFRONT,directed
115,ALIBABA GROUP,XPRESSBEES,directed
116,PORTLAND SEED FUND,THE WILD,directed
117,TAL EDUCATION GROUP,VEDANTU,directed
118,TECHSTARS,SLINGSHOT AEROSPACE,directed
119,EURAZEO,VESTIAIRE COLLECTIVE,directed
120,REVOLUTION,TEMPERPACK,directed
121,CAREEM,SWVL TECHNOLOGIES,directed
122,AUTOTECH VENTURES,SWVL TECHNOLOGIES,directed
123,OMAN TECHNOLOGY FUND,SWVL TECHNOLOGIES,directed
124,DIGITAL CURRENCY GROUP,YIELD GUILD GAMES SOUTHEAST ASIA,directed
