id,Label,Principales inversionistas
1,TENCENT,"IDG CAPITAL, PROSUS NASPERS, LIPPO GROUP, PCCW"
3,TWITTER,"ANDREESSEN HOROWITZ, MORGAN STANLEY, SPARK CAPITAL, UNION SQUARE VENTURES, INSIGHT PARTNERS"
4,UBISOFT,"TENCENT, JP MORGAN CHASE, ONTARIO TEACHERS PENSION PLAN, ELECTRONIC ARTS"
5,WEWORK,"SOFTBANK, JP MORGAN CHASE, GOLDMAN SACHS, INSIGHT PARTNERS, CUSHMAN WAKEFIELD"
6,WAGESTREAM,"SMASH CAPITAL, ASCENSION, BLACKROCK, QED INVESTORS, NORTHZONE"
7,XENDIT,"Y COMBINATOR, TIGER GLOBAL MANAGEMENT, ACCEL, EAST VENTURES, GOAT CAPITAL"
8,TECHSTARS,"RRE VENTURES, FOUNDRY GROUP, MERCURY, SILICON VALLEY BANK, IA VENTURES"
9,STARTENGINE,"MEYER GLOBAL MANAGEMENT, BAM VENTURES, ERIK PETERSON, SUNMEET JOLLY, KEVIN ZUBER"
10,VERIZON,"AMERICAN RESCUE PLAN, NYSERDA, ATN INTERNATIONAL"
11,TERRA,"GALAXY DIGITAL, HASHED, POLYCHAIN, BINANCE, COINBASE VENTURES"
12,WYRE,"DIGITAL CURRENCY GROUP, BLOCKCHAIN CAPITAL, STELLAR DEVELOPMENT FOUNDATION, DRAPER ASSOCIATES, KRAKEN"
13,ZOMATO,"APPLE, SEQUOIA CAPITAL, INFO EDGE, TIGER GLOBAL MANAGEMENT, ANT GROUP"
14,SPACEX,"GOOGLE, FIDELITY, BAILLIE GIFFORD, CRAFT VENTURES, BANK OF AMERICA"
15,TWITCH,"TAKETWO INTERACTIVE SOFTWARE, Y COMBINATOR, DRAPER ASSOCIATES, BESSEMER VENTURE PARTNERS, SV ANGEL"
16,SAP,"ELLIOTT MANAGEMENT, EASME EU EXECUTIVE AGENCY FOR SMES"
17,WEFUNDER,"Y COMBINATOR, MAVERICK VENTURES, PLUG AND PLAY TECH CENTER, DANIEL CURRAN, DHARMESH SHAH"
18,SWIGGY,"TENCENT, SOFTBANK, MEITUAN, INVESCO, GOLDMAN SACHS"
19,TIVE,"TECHSTARS, FIFTH WALL, RRE VENTURES, QUALCOMM VENTURES, AXA VENTURE PARTNERS"
20,STANZA LIVING,"SEQUOIA CAPITAL, MATRIX PARTNERS, RBL BANK, ACCEL, SEQUOIA CAPITAL INDIA"
21,TWILIO,"TECHSTARS, 500 STARTUPS, UNION SQUARE VENTURES, FIDELITY, REDPOINT"
22,URBANPIPER,"ZOMATO, SWIGGY, TIGER GLOBAL MANAGEMENT, SEQUOIA CAPITAL INDIA, AXILOR VENTURES"
23,TESLA,"TENCENT, CITI, GOOGLE, MORGAN STANLEY, GOLDMAN SACHS"
24,ZILINGO,"SEQUOIA CAPITAL, DRAPER ASSOCIATES, SUSQUEHANNA INTERNATIONAL GROUP SIG, TEMASEK HOLDINGS, WAVEMAKER PARTNERS"
25,XIAOHONGSHU,"TENCENT, ALIBABA GROUP, GSR VENTURES, TEMASEK HOLDINGS, GGV CAPITAL"
26,UNIPHORE,"NEW ENTERPRISE ASSOCIATES, SORENSON CAPITAL, IIFL FINANCE, CHIRATAE VENTURES, YOURNEST VENTURE CAPITAL"
27,SONOS,"HEADLINE, REDPOINT, INDEX VENTURES, KOHLBERG KRAVIS ROBERTS, EQUITYZEN"
28,SANOFI,"EVOTEC, BLACKSTONE LIFE SCIENCES"
29,THUNES,"INSIGHT PARTNERS, CHECKOUTCOM, GGV CAPITAL, FUTURE SHAPE, HELIOS INVESTMENT PARTNERS"
30,TURO,"INTACT FINANCIAL CORPORATION, GV, DAIMLER, SHASTA VENTURES, MASSCHALLENGE"
31,TREINTA,"GOODWATER CAPITAL, Y COMBINATOR, PAYU, OUTBOUND VENTURES, COMMERCE VENTURES"
32,ZUME,"SOFTBANK VISION FUND, SIGNALFIRE, FJ LABS, AME CLOUD VENTURES, MAVERON"
33,YIELDSTREET,"GAINGELS, EDISON PARTNERS, FJ LABS, GREYCROFT, SOROS FUND MANAGEMENT"
34,YOKOY,"SEQUOIA CAPITAL, BALDERTON CAPITAL, SPEEDINVEST, LEFT LANE CAPITAL, SWISSCOM VENTURES"
35,SOLANA,"ANDREESSEN HOROWITZ, BLOCKTOWER CAPITAL, 500 STARTUPS, POLYCHAIN, SLOW VENTURES"
36,SAMSUNG ELECTRONICS,ASHIKA SONI
37,SHOPIFY,"INSIGHT PARTNERS, OMERS VENTURES, FIRSTMARK, BESSEMER VENTURE PARTNERS, FELICIS VENTURES"
38,WHATFIX,"SQUARE, SOFTBANK VISION FUND, FPRIME CAPITAL, SEQUOIA CAPITAL INDIA, STELLARIS VENTURE PARTNERS"
39,TRACE,"BRAND FOUNDRY VENTURES, INTEL CAPITAL, TOBA CAPITAL, NEXTGEN VENTURE PARTNERS, AMPLIFYLA"
40,YANDEX,"TIGER GLOBAL MANAGEMENT, ALMAZ CAPITAL, RTP GLOBAL, ROMAN ABRAMOVICH, BARING VOSTOK CAPITAL PARTNERS"
41,VYTALIZE HEALTH,"KITTYHAWK VENTURES, NORTH COAST VENTURES, DREAMIT VENTURES, ENHANCED HEALTHCARE PARTNERS, KAWN VENTURES"
42,SOPHOS,TA ASSOCIATES
43,SQUIRE,"Y COMBINATOR, TIGER GLOBAL MANAGEMENT, ALTAIR CAPITAL, SB OPPORTUNITY FUND, BOSSA NOVA INVESTIMENTOS"
44,SATELLOGIC,"TENCENT, LIBERTY STRATEGIC CAPITAL, ENDEAVOR CATALYST, SOFTBANK CAPITAL, CANTOR FITZGERALD"
45,THE HONEST COMPANY,"GENERAL CATALYST, M13, FIDELITY MANAGEMENT AND RESEARCH COMPANY, LIGHTSPEED VENTURE PARTNERS, L CATTERTON"
46,SIFIVE,"SPARK CAPITAL, QUALCOMM VENTURES, COATUE, KHAIRA CAPITAL, SAMSUNG VENTURES"
47,SHIFT,"ALUMNI VENTURES, FIDELITY MANAGEMENT AND RESEARCH COMPANY, LITHIA MOTORS, HIGHLAND CAPITAL PARTNERS, THRESHOLD"
48,ZETA,"MASTERCARD, SOFTBANK VISION FUND, SODEXO"
