Source,Target,Type
01 ADVISORS,ELECTRIC,directed
01 ADVISORS,ORIGIN,directed
17CAPITAL LLP,NEWSPRING,directed
1KX,ARWEAVE,directed
1KX,RARIBLE,directed
2TM,FIGMENT,directed
2TM,ABRA,directed
2TM,TC TRADERSCLUB,directed
360 CAPITAL,EVERLI,directed
3ONE4 CAPITAL,LICIOUS,directed
468 CAPITAL,UPSCALIO,directed
500 STARTUPS,ANIMOCA BRANDS,directed
500 STARTUPS,ANGELLIST,directed
500 STARTUPS,AXIE INFINITY,directed
500 STARTUPS,MURAL,directed
500 STARTUPS,TWILIO,directed
500 STARTUPS,PIPEFY,directed
500 STARTUPS,FARMART,directed
500 STARTUPS,SOLANA,directed
500 STARTUPS,GITLAB,directed
500 STARTUPS,FIDEL API,directed
500 STARTUPS,CIRCLECI,directed
500 STARTUPS,INTERCOM,directed
500 STARTUPS,FINACCEL,directed
500 STARTUPS,SHIPPO,directed
500 STARTUPS,SHEARSHARE,directed
500 STARTUPS,GOLDBELLY,directed
500 STARTUPS,BILLIONTOONE,directed
500 STARTUPS,ALGOLIA,directed
500 STARTUPS,KIN INSURANCE,directed
500 STARTUPS,CAROUSELL,directed
500 STARTUPS,INSIDER,directed
500 STARTUPS,BLAVITY,directed
500 STARTUPS,ITERABLE,directed
500 STARTUPS,THRIVE AGRIC,directed
500 STARTUPS,FUNDING SOCIETIES,directed
500 STARTUPS,RISEUP,directed
500 STARTUPS,SHIPROCKET,directed
500 STARTUPS,CLIP,directed
500 STARTUPS,INNOVACCER,directed
500 STARTUPS,GRAB,directed
500 STARTUPS,EQUITYZEN,directed
500 STARTUPS,GOLDEN GATE,directed
500 STARTUPS,THE FAMILY,directed
645 VENTURES,ITERABLE,directed
645 VENTURES,PANTHER LABS,directed
8 DECIMAL CAPITAL,DORAHACKS,directed
8VC,EIGHT SLEEP,directed
8VC,AIRBYTE,directed
8VC,MOJO VISION,directed
8VC,CLEARCO,directed
8VC,FORETHOUGHT,directed
8VC,VONTIVE,directed
8VC,OMNI,directed
8VC,SOCOTRA,directed
8VC,TWINGATE,directed
8VC,HIVE,directed
8VC,FLEXPORT,directed
8VC,MAVEN CLINIC,directed
8VC,BLUEVOYANT,directed
8VC,EVERNOW,directed
8VC,CITIZEN,directed
8VC,AFFINITY,directed
8VC,ASCENDIO,directed
8VC,YUGABYTE,directed
9UNICORNS ACCELERATOR FUND,INSTORIED,directed
9UNICORNS ACCELERATOR FUND,BLUSMART MOBILITY,directed
9UNICORNS ACCELERATOR FUND,GOQII,directed
9UNICORNS ACCELERATOR FUND,VEDANTU,directed
9UNICORNS ACCELERATOR FUND,RESHAMANDI,directed
9UNICORNS ACCELERATOR FUND,FINANCEPEER,directed
9YARDS CAPITAL,8VC,directed
9YARDS CAPITAL,PARAFI CAPITAL,directed
A91 PARTNERS,DIGIT INSURANCE,directed
AAVISHKAAR VENTURE CAPITAL,AGROSTAR,directed
ABRAAJ GROUP,SELINA,directed
ABS CAPITAL PARTNERS,EXECONLINE,directed
ABU DHABI INVESTMENT AUTHORITY,CITI,directed
ABU DHABI INVESTMENT AUTHORITY,GOTO GROUP,directed
